region,no_of_trainings,previous_year_rating,length_of_service,avg_training_score,is_promoted,Female,Male,awards_0,awards_1,KPI_0,KPI_1,qualification
1,1,4.0,4,45,0,1,0,1,0,0,1,0.14179411108299184
1,1,3.0,5,75,0,0,1,1,0,1,0,0.1320794640265087
0,1,1.0,4,48,0,0,1,1,0,1,0,0.13825765380106134
1,1,5.0,7,70,0,0,1,1,0,0,1,0.1787094873430175
2,1,3.0,3,73,0,1,0,1,0,0,1,0.15882002765881753
1,1,5.0,4,67,0,1,0,1,0,0,1,0.18303716802646997
1,1,1.0,8,45,0,1,0,1,0,1,0,0.14706834024747503
2,1,4.0,7,82,0,0,1,1,0,1,0,0.16484661464733089
2,2,4.0,6,84,0,0,1,1,0,1,0,0.13513435158208545
2,1,4.0,6,53,0,0,1,1,0,1,0,0.16887282304319962
1,1,5.0,6,61,0,0,1,1,0,0,1,0.09195815118187411
1,2,1.0,2,50,0,0,1,1,0,1,0,0.13134986790035308
2,1,2.0,5,75,0,1,0,1,0,1,0,0.13027089832142355
1,2,3.0,9,70,0,1,0,1,0,1,0,0.17105713881260295
1,2,3.0,3,86,0,1,0,1,0,1,0,0.12700864539131757
1,2,2.0,4,54,0,1,0,1,0,1,0,0.13628330428545776
2,3,3.0,3,70,0,1,0,1,0,0,1,0.14079210103036857
1,1,2.0,12,57,0,0,1,1,0,1,0,0.13102542210780108
2,1,5.0,6,84,0,0,1,1,0,0,1,0.11909583200861144
1,1,3.0,15,51,0,0,1,1,0,1,0,0.1249855818655512
1,3,4.0,4,49,0,0,1,1,0,1,0,0.12306756632427723
1,1,4.0,4,70,0,0,1,1,0,0,1,0.1274961953811511
1,1,5.0,5,72,0,1,0,1,0,0,1,0.133979913863101
2,1,4.0,11,58,0,0,1,1,0,1,0,0.13314455718132498
1,2,5.0,12,55,0,1,0,1,0,0,1,0.1303858033951808
1,2,3.0,6,57,0,1,0,1,0,1,0,0.12778239938610955
1,1,4.0,4,77,0,0,1,1,0,0,1,0.14560982758464605
2,1,4.0,7,48,1,0,1,1,0,0,1,0.12606120659009867
2,1,5.0,7,51,0,0,1,1,0,1,0,0.1612345014221824
2,1,1.0,4,80,0,0,1,1,0,1,0,0.12107110497409888
1,1,3.0,4,86,0,1,0,1,0,1,0,0.12308736748769906
2,1,5.0,9,68,0,1,0,1,0,1,0,0.15497857893300493
1,1,4.0,3,65,0,0,1,1,0,1,0,0.12788490516041373
2,1,4.0,2,75,0,0,1,1,0,1,0,0.11690342880599404
0,1,1.0,3,81,0,0,1,1,0,1,0,0.11806152851550782
1,2,3.0,9,49,0,0,1,1,0,1,0,0.1249183396324815
1,2,1.0,8,39,0,0,1,1,0,1,0,0.13025335704568905
1,2,3.0,2,70,0,1,0,1,0,1,0,0.11966329153806256
2,1,4.0,5,94,1,1,0,0,1,0,1,0.14464497930361506
1,1,3.0,2,60,0,0,1,1,0,0,1,0.1489029586502173
2,1,5.0,2,51,0,0,1,1,0,0,1,0.13353300836705387
1,1,5.0,4,56,0,1,0,1,0,1,0,0.1173587079395325
1,1,5.0,6,48,0,0,1,1,0,1,0,0.10599032818495624
1,1,3.0,4,49,0,0,1,1,0,0,1,0.13156493751608733
1,1,1.0,3,78,0,0,1,1,0,1,0,0.11129949152204562
1,1,5.0,6,58,0,0,1,0,1,1,0,0.11392133910577756
1,1,3.0,12,70,0,0,1,1,0,1,0,0.1487228777684083
1,1,1.0,2,69,0,1,0,1,0,1,0,0.11637229451844631
2,1,1.0,2,53,0,1,0,1,0,1,0,0.1506818053154037
1,1,1.0,4,80,0,0,1,1,0,1,0,0.10727712542615205
2,1,5.0,4,58,0,0,1,1,0,0,1,0.11252347192898571
1,2,5.0,6,81,0,0,1,1,0,0,1,0.1086439509859319
1,1,1.0,8,67,0,0,1,1,0,1,0,0.11296201974263277
0,1,4.0,8,86,0,0,1,1,0,1,0,0.10146381536896519
1,1,3.0,4,80,0,0,1,1,0,0,1,0.12992735177811401
1,2,5.0,3,85,0,0,1,1,0,0,1,0.10262786090219322
1,1,3.0,3,58,0,0,1,1,0,1,0,0.1087267874168923
2,2,3.0,5,86,0,0,1,1,0,0,1,0.10053848272846222
2,1,5.0,3,68,0,0,1,1,0,0,1,0.11353357162188875
1,1,4.0,12,58,0,1,0,1,0,1,0,0.11044754481041381
2,1,5.0,9,60,0,1,0,1,0,0,1,0.10873060705800847
0,2,3.0,9,49,0,0,1,1,0,1,0,0.1223842392181802
1,1,3.0,8,59,0,0,1,1,0,0,1,0.13254073353057907
2,1,4.0,3,50,0,1,0,1,0,1,0,0.07249637837588749
1,1,3.0,5,52,0,0,1,1,0,0,1,0.11773896621956677
1,1,5.0,2,93,1,1,0,0,1,0,1,0.12982669035554603
1,1,3.0,9,69,0,1,0,1,0,1,0,0.10618022771324727
1,2,3.0,9,86,0,0,1,1,0,0,1,0.09211885908310363
1,1,3.0,8,51,0,0,1,1,0,1,0,0.11503736876606308
0,1,3.0,8,78,0,0,1,1,0,1,0,0.1038628378187176
0,1,3.0,4,85,0,0,1,1,0,0,1,0.09578074393562365
1,1,5.0,4,63,0,1,0,1,0,0,1,0.1073567393618135
1,2,3.0,7,60,0,0,1,0,1,0,1,0.11178501116071088
2,1,1.0,2,48,0,0,1,1,0,1,0,0.11246624365105244
2,3,2.0,3,52,0,0,1,1,0,1,0,0.11108604637814627
1,1,3.0,4,84,0,0,1,1,0,1,0,0.08665383648142438
2,2,2.0,4,57,1,0,1,1,0,0,1,0.10274775466866089
2,1,4.0,2,82,0,0,1,1,0,1,0,0.07258521254283534
2,1,4.0,4,78,0,0,1,1,0,1,0,0.10114881881345789
1,1,5.0,7,82,0,1,0,1,0,0,1,0.09966096483380515
1,1,4.0,9,49,0,0,1,1,0,1,0,0.11682809255762171
2,1,5.0,4,50,0,0,1,0,1,1,0,0.1155544872283371
1,1,5.0,8,67,0,1,0,1,0,0,1,0.13828727826396933
2,1,3.0,5,72,0,1,0,1,0,0,1,0.13578120725349654
1,1,5.0,3,78,0,1,0,1,0,0,1,0.09663846447829877
1,1,4.0,2,61,0,0,1,1,0,0,1,0.1138900401761133
2,2,4.0,2,87,0,0,1,1,0,0,1,0.09057176664825768
2,1,5.0,4,64,0,0,1,1,0,1,0,0.07335205481517733
1,1,3.0,7,46,0,0,1,1,0,1,0,0.1104706762813857
1,1,3.0,14,79,0,0,1,1,0,1,0,0.12434582430771451
1,1,1.0,8,39,0,0,1,1,0,1,0,0.11123573063780363
2,2,3.0,10,88,0,1,0,1,0,1,0,0.12197333920337348
2,1,1.0,5,54,0,1,0,1,0,1,0,0.11221560872244297
2,1,4.0,4,63,0,0,1,1,0,1,0,0.1094714380881723
2,2,1.0,4,61,0,0,1,1,0,1,0,0.06467130650911847
1,1,4.0,3,61,0,0,1,1,0,1,0,0.10925935121192153
1,1,4.0,5,48,0,1,0,1,0,0,1,0.1375066525106643
1,3,3.0,11,57,0,0,1,1,0,1,0,0.13551556506192952
1,2,4.0,23,66,0,1,0,1,0,1,0,0.1271168357860981
1,2,2.0,8,49,0,1,0,1,0,1,0,0.13254290308175737
1,2,5.0,3,87,0,0,1,1,0,0,1,0.06772850114134839
2,1,5.0,3,59,0,1,0,1,0,1,0,0.10471918226497878
0,1,3.0,4,60,0,0,1,1,0,1,0,0.13023429682000184
0,1,3.0,15,87,0,0,1,1,0,1,0,0.08891873255653726
2,1,4.0,7,66,0,0,1,1,0,1,0,0.1225753411215158
1,1,2.0,4,47,0,1,0,1,0,1,0,0.10500623089601119
0,1,3.0,7,87,0,0,1,1,0,1,0,0.08380887676356169
0,1,4.0,4,78,0,0,1,1,0,1,0,0.08253382354977039
1,1,3.0,12,50,0,1,0,1,0,1,0,0.10367221061019787
1,2,4.0,6,75,0,0,1,1,0,1,0,0.06042021959872215
2,2,5.0,7,87,0,0,1,1,0,0,1,0.08168704470935717
1,1,5.0,6,58,0,0,1,1,0,0,1,0.06150635935599963
2,1,5.0,11,67,0,0,1,1,0,1,0,0.1007675440659314
1,1,5.0,3,65,0,1,0,1,0,0,1,0.0940154406115535
1,1,3.0,2,70,0,1,0,1,0,0,1,0.09292297303309092
1,1,3.0,7,56,0,0,1,1,0,1,0,0.10084751639132496
0,2,1.0,3,80,0,1,0,1,0,1,0,0.08351796325109295
1,1,3.0,2,47,0,1,0,1,0,1,0,0.06032417596910161
1,2,5.0,14,48,0,0,1,1,0,1,0,0.09893087656698614
1,2,3.0,9,58,0,0,1,1,0,1,0,0.09850659574010893
2,1,4.0,17,85,0,1,0,1,0,1,0,0.08247229990139747
1,1,2.0,5,77,0,0,1,1,0,1,0,0.08149801579478981
2,1,1.0,3,59,0,0,1,1,0,1,0,0.05847545472517931
2,1,4.0,5,61,0,0,1,1,0,1,0,0.0962994875369827
1,1,4.0,2,95,1,1,0,1,0,0,1,0.08944367251102907
1,1,2.0,9,79,0,0,1,1,0,1,0,0.08129145284165089
2,1,4.0,5,50,0,0,1,1,0,1,0,0.10090238344758885
1,1,1.0,6,47,0,1,0,1,0,1,0,0.09997804746100782
0,1,2.0,4,59,0,0,1,1,0,1,0,0.05835058995635975
1,1,5.0,10,76,0,0,1,1,0,0,1,0.10544205734313772
2,1,2.0,2,69,0,0,1,1,0,1,0,0.09679459182769708
1,1,2.0,5,47,0,0,1,1,0,1,0,0.09597357821427033
1,2,5.0,3,86,0,0,1,1,0,0,1,0.07639146206841696
2,1,5.0,10,63,0,1,0,1,0,1,0,0.0974274606196669
1,1,4.0,3,66,0,0,1,1,0,0,1,0.09768134977769515
1,1,1.0,13,70,0,1,0,1,0,1,0,0.12206402003934676
1,1,4.0,4,57,0,0,1,1,0,1,0,0.05884155821914461
1,1,3.0,3,67,0,1,0,1,0,0,1,0.06875391962287633
1,1,5.0,6,62,0,1,0,1,0,1,0,0.09534622112905056
2,1,5.0,2,59,0,0,1,1,0,0,1,0.05359047797373214
1,4,2.0,9,68,0,0,1,1,0,1,0,0.09348879754481713
1,1,1.0,7,79,0,0,1,0,1,1,0,0.10195890669121953
1,1,1.0,7,53,0,0,1,1,0,1,0,0.09568525802117794
1,1,5.0,5,83,1,0,1,0,1,1,0,0.10023421521516036
1,1,3.0,2,61,0,1,0,1,0,1,0,0.044503852799105785
1,1,5.0,8,81,0,0,1,1,0,0,1,0.08003164180536505
2,1,3.0,7,52,0,0,1,1,0,0,1,0.12514999456202425
2,1,3.0,3,75,1,0,1,1,0,1,0,0.12263846054470225
1,1,3.0,2,57,0,0,1,1,0,1,0,0.09707567010596725
1,2,5.0,2,68,1,1,0,1,0,0,1,0.09469029285886003
1,1,4.0,7,80,0,1,0,1,0,0,1,0.08392933916620297
1,4,5.0,3,60,0,0,1,1,0,0,1,0.056108953503666736
2,1,3.0,6,86,0,0,1,1,0,0,1,0.08332734616185049
1,1,5.0,8,48,0,0,1,1,0,1,0,0.09290156447544616
1,1,3.0,19,81,0,1,0,1,0,1,0,0.07557565222754352
1,1,4.0,9,51,0,1,0,1,0,1,0,0.09168648243904971
1,1,3.0,3,48,0,0,1,1,0,1,0,0.0985022164085413
1,2,4.0,3,86,0,0,1,1,0,0,1,0.08097763107792527
1,1,3.0,3,86,0,0,1,1,0,1,0,0.07986323958506834
1,1,5.0,5,84,1,1,0,0,1,1,0,0.1027900490549208
1,1,3.0,7,58,0,0,1,1,0,1,0,0.13611704590329612
1,1,5.0,4,82,0,0,1,1,0,0,1,0.1140763207891758
1,1,4.0,5,54,0,0,1,1,0,1,0,0.1001804414298673
0,1,1.0,4,84,0,0,1,1,0,1,0,0.08907171363246387
1,1,5.0,2,60,0,0,1,1,0,0,1,0.045316798844952016
1,1,5.0,11,42,0,0,1,1,0,1,0,0.09026962052619343
2,1,3.0,10,60,0,1,0,1,0,1,0,0.09472308901528924
2,1,4.0,2,96,1,0,1,1,0,0,1,0.09543169311824033
2,1,3.0,2,59,0,0,1,1,0,1,0,0.08507642322376664
1,1,1.0,10,49,0,0,1,1,0,1,0,0.0996465056808541
1,1,3.0,5,80,0,0,1,1,0,1,0,0.11700850077957752
1,1,5.0,7,53,0,0,1,1,0,1,0,0.08859092955271675
2,2,4.0,3,78,0,1,0,1,0,0,1,0.06303437580517013
1,1,4.0,15,64,1,0,1,1,0,1,0,0.09792439166570989
1,1,5.0,5,60,1,1,0,1,0,1,0,0.10439110999582513
0,1,3.0,7,82,0,0,1,1,0,1,0,0.07502172096127699
2,1,2.0,8,48,0,0,1,1,0,1,0,0.11062837006396538
2,1,1.0,2,81,0,0,1,1,0,1,0,0.07416828576609967
0,1,3.0,5,60,0,0,1,1,0,1,0,0.10793242983238029
1,1,3.0,14,47,0,1,0,1,0,1,0,0.0870983961307094
1,2,2.0,10,69,0,0,1,1,0,1,0,0.11608589122089714
2,1,5.0,2,54,0,0,1,1,0,1,0,0.09570654967334413
1,2,3.0,4,63,0,0,1,1,0,1,0,0.10646767246928278
1,1,3.0,8,69,0,0,1,1,0,1,0,0.1143145939579624
1,1,5.0,7,57,0,1,0,1,0,0,1,0.10515460451208952
2,2,5.0,4,57,0,0,1,1,0,0,1,0.09130152305788512
1,1,2.0,5,49,0,0,1,1,0,1,0,0.09426038672638147
1,1,5.0,3,81,0,0,1,1,0,0,1,0.07834247770806743
1,1,3.0,4,80,0,0,1,1,0,1,0,0.07144359006935576
1,1,3.0,9,61,0,0,1,1,0,1,0,0.08945840579805671
2,2,3.0,4,53,0,0,1,1,0,1,0,0.09258543413306441
1,2,3.0,8,80,0,0,1,1,0,1,0,0.07018486668287664
2,1,5.0,7,59,0,1,0,1,0,0,1,0.13310569190037855
1,1,3.0,6,47,0,1,0,1,0,0,1,0.13573987485683114
2,1,3.0,12,48,0,0,1,1,0,1,0,0.134377812685425
2,1,3.0,6,72,0,0,1,1,0,1,0,0.14012188602236075
1,1,5.0,5,64,0,0,1,1,0,0,1,0.08739333817776984
2,1,3.0,8,57,0,0,1,1,0,1,0,0.10014533406691033
1,1,3.0,13,53,0,1,0,1,0,1,0,0.06159349264754751
2,2,2.0,10,46,0,0,1,1,0,1,0,0.13132007267126575
1,1,3.0,8,61,0,0,1,1,0,1,0,0.11289425965656556
1,1,5.0,8,54,0,1,0,1,0,0,1,0.08517537373747479
2,1,4.0,7,59,0,1,0,1,0,0,1,0.09081813920320599
2,1,5.0,2,61,0,1,0,1,0,1,0,0.0838758827045278
0,1,3.0,17,83,0,0,1,1,0,1,0,0.10813321180487695
1,1,3.0,10,49,1,0,1,1,0,0,1,0.12802649556014387
1,1,4.0,13,52,0,1,0,1,0,1,0,0.09222663738969522
1,1,5.0,12,84,0,0,1,1,0,0,1,0.08302115228802377
1,1,3.0,6,73,0,0,1,1,0,1,0,0.08238996953138143
1,1,1.0,7,48,0,0,1,1,0,1,0,0.10613106735775678
2,1,3.0,6,66,0,1,0,1,0,1,0,0.10974935023076238
1,1,3.0,4,86,0,0,1,1,0,1,0,0.11798570200438534
1,4,3.0,6,59,0,0,1,1,0,1,0,0.08244719922974364
1,1,4.0,13,60,0,1,0,1,0,1,0,0.0961261655056957
1,1,2.0,7,70,0,0,1,1,0,1,0,0.13669955738281006
0,1,3.0,6,60,0,0,1,1,0,1,0,0.12329479218067325
2,1,5.0,8,49,0,0,1,1,0,1,0,0.1041690821614436
2,1,5.0,20,65,0,0,1,1,0,0,1,0.13410452967742617
2,1,1.0,4,50,0,1,0,1,0,1,0,0.08977979851918072
1,2,3.0,2,91,0,0,1,1,0,1,0,0.08674570429688594
2,1,3.0,18,87,0,0,1,1,0,1,0,0.07239009696368258
2,1,3.0,5,50,0,1,0,1,0,1,0,0.09123709695643778
0,1,4.0,6,59,0,1,0,1,0,0,1,0.12022239831194981
1,1,5.0,4,45,0,0,1,1,0,0,1,0.10204227387307208
2,1,3.0,19,72,0,0,1,1,0,0,1,0.10441105553214357
1,2,3.0,4,84,0,0,1,1,0,1,0,0.09921349699699526
1,1,5.0,19,40,0,0,1,1,0,1,0,0.10100636853728943
0,1,3.0,7,54,0,0,1,1,0,1,0,0.12691131223629218
0,1,3.0,7,51,0,1,0,1,0,1,0,0.062297651026030465
2,2,4.0,9,65,0,1,0,1,0,0,1,0.1050662963898305
1,1,1.0,10,45,0,1,0,1,0,1,0,0.12511333454474274
2,3,3.0,4,81,0,0,1,1,0,1,0,0.0649116985279758
2,1,3.0,2,79,0,1,0,1,0,1,0,0.08952810741015911
1,1,5.0,22,50,0,1,0,1,0,0,1,0.06160018681770202
2,1,4.0,5,90,0,0,1,1,0,1,0,0.10780364252122854
2,1,2.0,5,48,0,0,1,1,0,1,0,0.11013383660262686
1,1,1.0,3,71,0,0,1,1,0,1,0,0.11294901290611302
2,3,3.0,25,49,0,0,1,1,0,1,0,0.12137475981500767
2,1,3.0,11,56,0,0,1,1,0,1,0,0.09028992979887868
2,1,3.0,3,61,0,0,1,1,0,1,0,0.040737320785461995
2,1,4.0,13,79,0,1,0,1,0,1,0,0.06755970873051952
1,1,5.0,10,59,1,0,1,1,0,0,1,0.0894698733180677
1,1,3.0,4,76,1,1,0,1,0,0,1,0.07802429728561881
1,1,5.0,9,71,0,1,0,1,0,0,1,0.090442414846628
1,1,3.0,28,78,0,1,0,1,0,1,0,0.08558020742786109
1,1,2.0,8,59,0,1,0,1,0,1,0,0.0979941049655277
1,1,4.0,13,57,0,0,1,1,0,1,0,0.08238728400172729
1,1,3.0,1,62,0,0,1,1,0,0,1,0.06843644350278301
0,1,1.0,5,77,0,1,0,1,0,1,0,0.09013016852719263
2,3,3.0,2,63,0,0,1,1,0,1,0,0.10382175496182981
2,2,5.0,5,77,0,0,1,1,0,0,1,0.0891898528236393
2,1,5.0,8,46,1,1,0,1,0,0,1,0.08585818669877454
2,1,3.0,2,48,0,0,1,1,0,1,0,0.10477305923987608
1,2,3.0,5,61,0,0,1,0,1,0,1,0.08425976203314571
1,1,5.0,6,45,0,0,1,1,0,1,0,0.10403172424981921
1,2,2.0,8,59,0,0,1,1,0,1,0,0.11536361170802133
1,1,1.0,4,70,0,0,1,1,0,1,0,0.10914118938832279
2,1,3.0,4,65,1,1,0,0,1,1,0,0.09574567552279457
1,1,3.0,3,61,0,0,1,1,0,0,1,0.10477746534545022
1,1,1.0,11,74,0,1,0,1,0,1,0,0.08856195918407095
